"NAME,C,20","LGA,C,20","TLAT,N,14,8","TLONG,N,14,8"
Kybong,Gympie Regional Coun,-26.29105490,152.70610980
Kynuna,McKinlay Shire Counc,-21.57664300,141.92049500
Longreach,Longreach Regional C,-23.43920000,144.25270000
Louisa Creek,Mackay Regional Coun,-21.29352930,149.24897990
Mackay,Mackay Regional Coun,-21.14848000,149.16046000
Magnetic Island,Townsville City Coun,-19.15500000,146.84460000
Maroochydore,Sunshine Coast Regio,-26.65370800,153.10069800
McKinlay,McKinlay Shire Counc,-21.27171100,141.29148700
Middlemount,Isaac Regional Counc,-22.80802000,148.70176000
Midge Point,Mackay Regional Coun,-20.64450000,148.71220000
Mirani,Mackay Regional Coun,-21.16599000,148.87198000
Moore Park,Bundaberg Regional C,-24.72100600,152.27435100
Moranbah,Isaac Regional Counc,-22.00037000,148.03997200
Mornington Island,Mornington Shire Cou,-16.62500000,139.17240000
Mount Isa,Mount Isa City Counc,-20.72522700,139.49783300
Mount Morgan,Rockhampton Regional,-23.64288400,150.38954000
Mount Spec,Townsville City Coun,-19.00750000,146.20680000
Muttaburra,Barcaldine Regional,-22.59370200,144.54793000
Nambour,Sunshine Coast Regio,-26.62590000,152.95190000
Nebo,Isaac Regional Counc,-21.68840000,148.69237000
Normanton,Carpentaria Shire Co,-17.67310000,141.07920000
Northern Beaches,Mackay Regional Coun,-21.06410610,149.15210520
Opalton,Winton Shire Council,-23.26829200,142.79702200
Palm Island,Palm Island Aborigin,-18.72100000,146.58840000
Pentland,Charters Towers Regi,-20.52444900,145.39473200
Proserpine,Whitsunday Regional,-20.40614600,148.57850300
Rainbow Beach,Gympie Regional Coun,-25.90451000,153.09193100
Ravenswood,Charters Towers Regi,-20.09972400,146.88978700
Richmond,Richmond Shire Counc,-20.72570000,143.13530000
Rita Island,Burdekin Shire Counc,-19.62836700,147.50234300
Rockhampton,Rockhampton Regional,-23.36640000,150.52620000
Rollingstone,Townsville City Coun,-19.04490000,146.40890000
Sarina,Mackay Regional Coun,-21.41820000,149.21300000
South Kolan,Bundaberg Regional C,-24.92695900,152.18556000
Springsure,Central Highlands Re,-24.11740000,148.09040000
St Lawrence,Isaac Regional Counc,-22.34638800,149.53152900
Sweers Island,Mornington Shire Cou,-17.10172350,139.61936230
Thuringowa,Townsville City Coun,-19.31087490,146.72465490
Tieri,Central Highlands Re,-23.03816700,148.34510500
Tin Can Bay,Gympie Regional Coun,-25.92610000,152.99510000
Townsville,Townsville City Coun,-19.25790000,146.79350000
Urandangi,Boulia Shire Council,-21.60894300,138.31476900
Walkerston,Mackay Regional Coun,-21.15935400,149.06077500
Windorah,Barcoo Shire Council,-25.42127700,142.65540300
Winton,Winton Shire Council,-22.38687000,143.03818000
